STT;Dia;GDCD;Hoa;Li;Ma_mon_ngoai_ngu;Ngoai_ngu;Sinh;Su;Toan;Van;sbd;diem to hop;Diem trung binh;Diem xet tot nghiep;Dieu kien tot nghiep
2190;7.25;8.25;;;N1;2.4;;3.75;4.8;5.5;51002204;6.4;6.5;5.9;Dat
2191;6.75;8.5;;;N1;4.4;;4;7.6;6.75;51002203;6.4;7.2;7.2;Dat
2192;6.25;7.25;;;N1;3.6;;5;5;5.75;51002202;6.2;8.9;6.9;Dat
2193;5.25;8;;;N1;4.4;;3.75;4.8;5;51002205;5.7;7.9;6.5;Dat
2194;7.5;9;;;N1;6.8;;5;6.8;6.25;51002207;7.2;6.8;7.4;Dat
2195;7.5;8.75;;;N1;6.6;;4.5;6.6;5.75;51002209;6.9;6.1;7;Dat
2196;6.75;8.5;;;N1;3.8;;4.5;6.4;5.5;51002210;6.6;9;7.2;Dat
2197;4.25;6;;;N1;4;;3.5;5;3.75;51002206;4.6;7.4;5.9;Dat
2198;7.5;9.5;;;N1;6.4;;7.5;5.8;5.5;51002213;8.2;7.5;7.4;Dat
2199;;;4.5;4.75;N1;8;3.75;;6.4;6.25;51002212;4.3;8.7;7.6;Dat
2200;6.75;8.25;;;N1;2.8;;4;6.2;6;51002215;6.3;9.9;7.3;Dat
2201;;;6.75;6.75;N1;6;3.25;;6.8;6.25;51002217;5.6;7.7;7.2;Dat
2202;5.5;7.75;;;N1;6.4;;6.5;5.4;5;51002216;6.6;7.3;6.9;Dat
2203;6.5;7;;;N1;2.2;;5.75;6;5;51002214;6.4;7.9;6.4;Dat
2204;;;4.75;5;N1;3;4.5;;6.4;6.25;51002224;4.8;8.9;6.8;Dat
2205;;;5;5.25;N1;4.2;4.25;;5.8;5.75;51002220;4.8;7.4;6.4;Dat
2206;;;3.25;3.25;N1;5.2;3.75;;5.2;5.75;51002221;3.4;8.3;6.5;Dat
2207;;;5;4.75;N1;4.2;5;;7.4;4.5;51002211;4.9;9.8;7.2;Dat
2208;;;7.75;5.5;N1;4.8;5;;6.8;6.25;51002219;6.1;7;6.9;Dat
2209;6.5;7.5;;;N1;4.2;;5.25;5.8;6.5;51002226;6.4;9.9;7.6;Dat
2210;5;7.5;;;N1;3.2;;4.25;5.8;5.25;51002227;5.6;9.3;6.9;Dat
2211;6;5.75;;;N1;3.2;;4.75;5.2;6.25;51002218;5.5;8.3;6.6;Dat
2212;6.25;8;;;N1;5.2;;5.5;7;7.25;51002223;6.6;9.9;8.1;Dat
2213;;;5.75;3.75;N1;6.4;5.75;;6.6;5;51002222;5.1;8.9;7.3;Dat
2214;;;5.25;5.5;N1;5;6.25;;6.2;6.25;51002225;5.7;7.8;7;Dat
2215;5.75;8.5;;;N1;7.6;;4.25;5.6;4;51002228;6.2;9;7.4;Dat
2216;;;5.5;4.75;N1;6.6;4;;6.2;4;51002230;4.8;9.9;7.4;Dat
2217;;;4.25;4.75;N1;3.6;5;;6.4;5;51002229;4.7;6.6;6;Dat
2218;7;8.25;;;N1;4.6;;6.5;6.6;6;51002232;7.3;7.8;7.2;Dat
2219;7;9;;;N1;5.8;;6.5;7.6;6.5;51002233;7.5;6.1;7.2;Dat
2220;;;7.25;6.5;N1;4.4;5.5;;7;6;51002231;6.4;7;6.9;Dat
2221;;;4.25;5.75;N1;5.4;6;;7;6.5;51002237;5.3;7;6.9;Dat
2222;;;5;5.5;N1;3;4;;6.4;5.75;51002240;4.8;8.7;6.7;Dat
2223;;;3.5;7;N1;5.4;4;;7.6;5;51002235;4.8;7.2;6.8;Dat
2224;;;5.25;5;N1;5.8;5;;7;5.5;51002239;5.1;7.5;6.9;Dat
2225;;;5.5;4;N1;6;5;;7;5.75;51002234;4.8;8.4;7.2;Dat
2226;;;5.75;4.5;N1;4.2;5;;7;4;51002242;5.1;8.8;6.8;Dat
2227;;;3.75;5.25;N1;3.6;1.75;;6.2;6;51002241;3.6;7.3;6.2;Dat
2228;;;5.5;5.25;N1;6.2;6.25;;6.4;5.25;51002238;5.7;7.1;6.9;Dat
2229;7.25;8.5;;;N1;5.8;;5.5;5.2;5;51002246;7.1;6.2;6.5;Dat
2230;7.75;9;;;N1;6;;5.5;7;6;51002236;7.4;6.1;7.1;Dat
2231;;;6;6;N1;3.2;4;;5.8;4.25;51002250;5.3;6.4;5.8;Dat
2232;6.75;8.75;;;N1;4.8;;5.5;6.2;6.5;51002249;7;8.9;7.6;Dat
2233;7.5;9;;;N1;4.2;;4;6.8;7.17;51002243;6.8;6;6.8;Dat
2234;;;4.25;3.75;N1;3.6;5;;6.6;5.5;51002247;4.3;8;6.5;Dat
2235;6.25;7;;;N1;3.6;;7;6.6;6;51002248;6.8;7.6;6.9;Dat
2236;7.5;7.25;;;N1;5.6;;5;4;4.25;51002244;6.6;9.6;7.1;Dat
2237;;;2.5;4.5;N1;5.4;4.25;;6.2;6;51002251;3.8;8.1;6.8;Dat
2238;6;7.75;;;N1;2.8;;4.5;5;6.25;51002245;6.1;7.4;6.3;Dat
2239;6;9;;;N1;4.4;;4.5;7.4;4.75;51002252;6.5;6.1;6.5;Dat
2240;;;5.25;6.25;N1;5.2;3.25;;6.8;5;51002253;4.9;6.8;6.5;Dat
2241;;;6.25;5;N1;4.4;3.75;;5.8;4.5;51002254;5;6.7;6.1;Dat
2242;;;4;5.75;N1;5.8;3.75;;7;4.75;51002256;4.5;7.7;6.8;Dat
2243;;;2.25;4.5;N1;3.2;4;;5.6;5;51002257;3.6;6.4;5.6;Dat
2244;;;6.25;4.5;N1;3.2;5.25;;6;4.75;51002259;5.3;9.3;6.8;Dat
2245;;;4.25;2.5;N1;4.4;2.75;;6.8;6;51002261;3.2;8.1;6.6;Dat
2246;8;7.75;;;N1;3.8;;6.75;6.2;6.25;51002260;7.5;10;7.8;Dat
2247;;;5.5;7.5;N1;5.6;4.75;;7.4;6.25;51002266;5.9;7.5;7.3;Dat
2248;7.25;8.25;;;N1;3.4;;5.25;6;6;51002263;6.9;7.1;6.6;Dat
2249;6.5;8.25;;;N1;6.2;;3.5;6.4;6.25;51002262;6.1;9.9;7.9;Dat
2250;;;5;5;N1;4;5.25;;7.2;5.75;51002268;5.1;8.2;6.9;Dat
2251;;;6.75;4.75;N1;3.4;4.5;;6.8;6.5;51002270;5.3;7.3;6.6;Dat
2252;6.75;8;;;N1;4.6;;6.25;5.2;5.75;51002255;7;7.8;6.9;Dat
2253;;;5.25;3.75;N1;4.2;5.25;;6.4;6.75;51002265;4.8;6.7;6.5;Dat
2254;5.25;7.25;;;N1;2.8;;3;6.2;5.5;51002269;5.2;8.1;6.5;Dat
2255;;;3.5;4.5;N1;4.2;3.5;;5.8;6;51002267;3.8;6.1;5.9;Dat
2256;;;5;7.25;N1;3.8;4.75;;7.4;7.5;51002271;5.7;7.4;7.1;Dat
2257;;;7.25;6.5;N1;4.8;8;;7.2;4.75;51002258;7.3;6.9;6.9;Dat
2258;;;2.75;3;N1;2;2.25;;5.4;5;51002264;2.7;6.6;5.2;Dat
2259;;;3.75;3.25;N1;3;3.25;;3.6;3;51002273;3.4;9.5;5.7;Dat
2260;;;7.5;3.5;N1;5.6;7;;7;5;51002272;6;7.6;7;Dat
2261;;;4.5;5.75;N1;4;2.5;;5.6;7;51002275;4.3;7.2;6.4;Dat
2262;5.25;7.5;;;N1;2.2;;5.5;7.8;6;51002274;6.1;7.6;6.7;Dat
2263;5.75;7;;;N1;2.6;;3.25;4;5.75;51002279;5.3;9.8;6.6;Dat
2264;5.75;7.75;;;N1;2.6;;4;5;5.75;51002277;5.8;9.5;6.8;Dat
2265;6.5;9;;;N1;4;;5;7;6;51002278;6.8;7.1;6.9;Dat
2266;6;8.5;;;N1;5.6;;5.25;5.4;7.75;51002280;6.6;6.8;7.1;Dat
2267;6.25;8.75;;;N1;3.4;;2.5;6.4;5.5;51002286;5.8;8.1;6.7;Dat
2268;7;9.5;;;N1;7;;6.5;6.4;7.08;51002284;7.7;7.4;7.8;Dat
2269;;;5.75;5;N1;4.8;4;;7.2;6.25;51002281;4.9;9.1;7.4;Dat
2270;;;4;4.75;N1;3.8;3.75;;6.2;5;51002276;4.2;8.1;6.4;Dat
2271;;;6.25;5.75;N1;3.4;5.5;;7;6.5;51002282;5.8;8.8;7.2;Dat
2272;6.5;8.5;;;N1;4;;4.75;7;7.5;51002288;6.6;6.5;6.9;Dat
2273;4.5;8.25;;;N1;2;;2.5;5.6;5.25;51002283;5.1;7.7;6.1;Dat
2274;6.5;8.5;;;N1;8.8;;5.25;6.4;7.17;51002285;6.8;7.7;8;Dat
2275;6;6.75;;;N1;2.8;;3.75;4.2;2.5;51002289;5.5;7.4;5.4;Dat
2276;;;5.75;5.25;N1;4.4;5.25;;7;5.5;51002287;5.4;8.6;7.1;Dat
2277;;;6.25;5.25;N1;5;4;;6.4;6.75;51002290;5.2;9.3;7.5;Dat
2278;;;4.5;3;N1;4.2;2;;5;5.25;51002291;3.2;9.5;6.5;Dat
2279;;;3.75;5.5;N1;5.6;4.5;;5.6;4.25;51002297;4.6;6.2;6;Dat
2280;;;4;5.75;N1;5.4;4.5;;7.4;7;51002299;4.8;9.8;7.8;Dat
2281;;;6;3.75;N1;3.2;6;;5.6;6;51002303;5.3;8.9;6.8;Dat
2282;;;5.25;5.5;N1;3;6.25;;6;5.5;51002295;5.7;7.8;6.5;Dat
2283;;;5;7.25;N1;5;4;;6.8;5.75;51002318;5.4;9.7;7.5;Dat
2284;;;6;6;N1;2.6;4.5;;6.4;3.75;51002293;5.5;7.7;6.1;Dat
2285;7.25;8.25;;;N1;3.8;;5.5;7.2;6.5;51002314;7;7.2;7;Dat
2286;;;5.25;5.25;N1;4.8;4.5;;6.6;5.75;51002306;5;9.3;7.3;Dat
2287;7.75;7.75;;;N1;5.4;;5.5;5.4;5.75;51002300;7;8.4;7.2;Dat
2288;;;3;4.25;N1;1.8;4;;4.8;5.25;51002320;3.8;8.4;5.9;Dat
2289;;;5;2.25;N1;4;5.25;;6.2;5;51002292;4.2;6.2;5.9;Dat
2290;7;8.25;;;N1;3.6;;7;5.4;5.75;51002315;7.4;9.6;7.4;Dat
2291;7.5;8;;;N1;5;;6.75;7;6.08;51002319;7.4;6.5;7;Dat
2292;6.25;7.75;;;N1;3.8;;3.5;6.8;5.75;51002308;5.8;7.3;6.7;Dat
2293;5.25;6;;;N1;3;;3.25;5.2;3;51002301;4.8;9.9;6.4;Dat
2294;6.5;8.75;;;N1;6.8;;7.25;6.4;6.25;51002302;7.5;6.8;7.4;Dat
2295;;;5.5;4.75;N1;4;3.75;;6.6;6.25;51002304;4.7;7;6.5;Dat
2296;;;4;5;N1;3.8;3.5;;7.2;5.5;51002310;4.2;6.3;6.1;Dat
2297;6;7.25;;;N1;6.2;;4;7.2;5;51002312;5.8;9.6;7.7;Dat
2298;6.5;8;;;N1;3.4;;5.5;6.8;4.5;51002296;6.7;8.4;6.9;Dat
2299;7.5;8.5;;;N1;4.8;;8.5;6.4;6;51002294;8.2;8.8;7.7;Dat
2300;6.75;8.5;;;N1;5.6;;5.5;7.2;7;51002305;6.9;7.6;7.6;Dat
2301;;;5.5;2.25;N1;3.8;3;;6.2;6;51002307;3.6;6.2;5.9;Dat
2302;7;9;;;N1;4.8;;7.5;7;5.5;51002309;7.8;9.5;7.8;Dat
2303;;;3;4.75;N1;3.6;5;;6.2;4.75;51002313;4.3;7.1;6;Dat
2304;;;7;6.5;N1;5.8;6;;7.8;6;51002323;6.5;8.2;7.6;Dat
2305;9;8.5;;;N1;5.2;;5.5;7.4;6;51002298;7.7;8.8;7.8;Dat
2306;4.75;6.75;;;N1;5.2;;4.5;5.6;6.75;51002311;5.3;8.7;7.2;Dat
2307;7.5;8.75;;;N1;5.6;;7;6;7;51002316;7.8;9.3;8;Dat
2308;8;9;;;N1;5;;6;7.4;6.75;51002317;7.7;8.2;7.8;Dat
2309;;;6.25;4.75;N1;5.8;5;;5.2;3.75;51002326;5.3;9.1;6.8;Dat
2310;6.75;6.75;;;N1;6.8;;6.25;7.2;7;51002321;6.6;9.9;8.4;Dat
2311;6.75;8;;;N1;3.2;;4.5;6.4;5;51002327;6.4;9.6;7.2;Dat
2312;;;5;5.75;N1;7.2;5;;7;6.25;51002328;5.3;9;7.8;Dat
2313;;;6.5;4.5;N1;2.4;5.5;;5.4;6.5;51002324;5.5;9.5;6.9;Dat
2314;;;6;5.25;N1;4.6;6;;6.6;6.25;51002322;5.8;8.1;7.1;Dat
2315;8;7.5;;;N1;4.2;;7;7.8;6.25;51002325;7.5;9.8;8;Dat
2316;;;4.75;4.5;N1;4.6;4.25;;7.2;5;51002329;4.5;10;7.3;Dat
2317;;;3.5;5;N1;4.4;4.25;;6;6.5;51002330;4.3;9.2;7.1;Dat
2318;;;6.5;5.75;N1;5.8;5.25;;6.6;7;51002332;5.8;9.9;8;Dat
2319;4.25;8.75;;;N1;1.8;;6.25;6.2;5.5;51002335;6.4;8.9;6.8;Dat
2320;7;8;;;N1;3.8;;4;5;5;51002334;6.3;9.1;6.8;Dat
2321;;;5.75;6.75;N1;6.8;5.75;;7.8;6.08;51002333;6.1;7.9;7.7;Dat
2322;;;6.5;6;N1;4.6;5.5;;6.6;4.75;51002339;6;7;6.5;Dat
2323;;;5;6.5;N1;3.6;4;;6.6;5;51002336;5.2;9.8;7.1;Dat
2324;;;4;4.75;N1;2.4;4.25;;5.6;3.25;51002337;4.3;6.7;5.3;Dat
2325;8;8.75;;;N1;6.2;;7;6;5.5;51002340;7.9;8.5;7.6;Dat
2326;;;5;6;N1;3;3.75;;6.4;4.5;51002331;4.9;9;6.6;Dat
2327;5;6.75;;;N1;3.6;;4.75;4.8;6.5;51002344;5.5;8.8;6.8;Dat
2328;;;3;2.75;N1;4;4.25;;5.4;4.75;51002338;3.3;9.4;6.5;Dat
2329;5.25;8;;;N1;3.4;;3.75;6.2;5;51002342;5.7;7.1;6.3;Dat
2330;;;4.25;5;N1;3.8;4.75;;6.4;5.5;51002343;4.7;7.4;6.4;Dat
2331;5.5;9.25;;;N1;5.8;;3.75;7.6;5.5;51002345;6.2;8.5;7.5;Dat
2332;5.5;9;;;N1;4.8;;4.75;6.6;4.75;51002346;6.4;7.5;6.8;Dat
2333;7.75;8.5;;;N1;2.8;;7.25;6;4.17;51002341;7.8;6.7;6.2;Dat
2334;;;4.75;4.5;N1;4.4;5.25;;6.6;6.75;51002351;4.8;8.7;7.2;Dat
2335;;;3.75;5.5;N1;5;3.75;;6.8;5.75;51002350;4.3;6.1;6.3;Dat
2336;9;8.75;;;N1;3.2;;8.5;6;7;51002347;8.8;8.1;7.4;Dat
2337;7.75;9.25;;;N1;4.2;;7;7.8;7.75;51002352;8;7.1;7.6;Dat
2338;;;6.25;5;N1;4;6.5;;7;7.25;51002349;5.9;9.8;7.8;Dat
2339;;;6.5;5;N1;5.8;5.75;;7.4;6.25;51002353;5.8;7.9;7.4;Dat
2340;8.25;9;;;N1;8.8;;7;5.2;6;51002354;8.1;9.5;8.4;Dat
2341;7;9.5;;;N1;6.6;;4.5;7.6;4.5;51002348;7;7.6;7.4;Dat
2342;6;6.25;;;N1;3.8;;5.25;5.6;5.25;51002359;5.8;6.3;6.1;Dat
2343;5.5;8.5;;;N1;3.4;;4.25;6.4;6.25;51002357;6.1;7.1;6.6;Dat
2344;;;7;6.5;N1;5;6;;8.8;7;51002362;6.5;8.5;7.9;Dat
2345;6.25;9;;;N1;3.6;;5.5;5.4;6.5;51002360;6.9;7.7;6.8;Dat
2346;;;5;2.75;N1;3.2;4.5;;6;4;51002361;4.1;7.3;5.8;Dat
2347;4.25;6.75;;;N1;2.8;;4.5;6;5;51002355;5.2;8.1;6.4;Dat
2348;;;6.5;6.5;N1;3.8;5.5;;6.2;6.67;51002358;6.2;8.6;7.2;Dat
2349;;;5;6.25;N1;3.2;3.75;;5.6;6.5;51002364;5;9.1;6.9;Dat
2350;;;2.5;5;N1;4.6;4;;6.4;6;51002365;3.8;7.7;6.6;Dat
2351;7;8.5;;;N1;3;;6;6.6;7.75;51002356;7.2;6.5;6.8;Dat
2352;;;7;5;N1;5.8;6.5;;7.8;5.75;51002369;6.2;9.7;8;Dat
2353;6.75;6.5;;;N1;4.8;;6;6.8;6.5;51002367;6.4;9.2;7.6;Dat
2354;7.5;9.75;;;N1;4.2;;6.25;5.6;8;51002370;7.8;8.4;7.6;Dat
2355;;;4.75;5;N1;6.2;4.5;;6.6;5.5;51002368;4.8;9.9;7.6;Dat
2356;;;5;6;N1;5.6;3.75;;6.4;5.75;51002371;4.9;6.5;6.5;Dat
2357;;;4.25;5;N1;5;5.25;;5.8;6.25;51002363;4.8;6.4;6.3;Dat
2358;7;9;;;N1;3;;6.25;6.6;6.75;51002372;7.4;6.1;6.6;Dat
2359;5.75;8.25;;;N1;6.2;;5.5;6.2;6.75;51002366;6.5;9.2;7.8;Dat
2360;;;3.25;5.5;N1;5.6;3.5;;7;6;51002373;4.1;9.6;7.5;Dat
2361;;;7;6;N1;5.6;6.5;;7.4;4.5;51002374;6.5;8;7.2;Dat
2362;;;6.75;6.75;N1;4.4;5;;6.4;6.75;51002376;6.2;6.8;6.8;Dat
2363;;;3.75;4.25;N1;3.6;4.75;;4.6;7;51002380;4.3;6.8;6.1;Dat
2364;;;3.75;4.75;N1;3.4;3.5;;5.8;5.75;51002381;4;7;6;Dat
2365;7.5;9.75;;;N1;5.4;;5.75;5.6;7;51002383;7.7;7.1;7.2;Dat
2366;;;5.5;6.75;N1;5.4;5.5;;8;6;51002379;5.9;9.1;7.8;Dat
2367;7.25;7.75;;;N1;3.6;;6.25;6;7.25;51002375;7.1;7.9;7.2;Dat
2368;4.75;7.75;;;N1;4;;4;5.8;6.25;51002387;5.5;8;6.8;Dat
2369;;;4.25;6.75;N1;6.4;3.5;;6.6;5.5;51002378;4.8;9;7.4;Dat
2370;7.5;9;;;N1;4.6;;5.5;6;7;51002382;7.3;7.4;7.2;Dat
2371;;;4.75;5.25;N1;3.6;5;;7;5.75;51002377;5;8.3;6.8;Dat
2372;;;5;5;N1;3;4.75;;5.4;5.25;51002385;4.9;6.1;5.7;Dat
2373;;;4.5;5.5;N1;1.8;5.5;;7.6;5.5;51002384;5.2;9.9;7.1;Dat
2374;;;3.75;5.5;N1;3.4;4.25;;6.6;5.5;51002386;4.5;6.1;5.9;Dat
2375;8.5;9.25;;;N1;4;;6.5;7;7.5;51002388;8.1;8.4;7.8;Dat
2376;7.5;8.75;;;N1;7.2;;5;5.6;8.25;51002389;7.1;6.9;7.6;Dat
2377;5;7.75;;;N1;3;;3.5;4.8;5.5;51002390;5.4;8.8;6.5;Dat
2378;;;5;5;N1;4.6;4.5;;6.4;5.42;51002391;4.8;9.5;7.2;Dat
2379;4.75;7.25;;;N1;4;;4.75;5;5.58;51002392;5.6;6.8;6.2;Dat
2380;;;5.75;7.25;N1;6.4;4.75;;7.4;9;51002393;5.9;8.2;8.1;Dat
2381;;;4.25;5.5;N1;3.8;4.25;;5.4;6;51002404;4.7;6.4;6;Dat
2382;;;3;4.75;N1;4.4;5.25;;5.6;5.75;51002398;4.3;7.4;6.3;Dat
2383;7.5;8.5;;;N1;3.6;;5.75;5.8;6;51002395;7.3;8.9;7.2;Dat
2384;;;4.25;5;N1;6.4;3.25;;6;5.75;51002396;4.2;10;7.5;Dat
2385;5.75;9.25;;;N1;4.4;;6;7.2;7.5;51002394;7;8.7;7.8;Dat
2386;6.5;8.25;;;N1;4.8;;4.25;6;6.5;51002397;6.3;9.7;7.6;Dat
2387;8.25;8.75;;;N1;5.4;;8.5;7.6;7.75;51002403;8.5;7.7;8;Dat
2388;;;4.25;5.25;N1;8.4;4.25;;6.4;7.5;51002399;4.6;7.1;7.4;Dat
2389;7;8.75;;;N1;3.8;;5.25;7;7;51002400;7;6.6;6.9;Dat
2390;7;8;;;N1;3.4;;3.75;3.8;4.25;51002405;6.3;7.4;5.9;Dat
2391;7.25;8.25;;;N1;5.6;;6.5;5.2;6;51002402;7.3;8.7;7.4;Dat
2392;7;7.25;;;N1;3.4;;4;4.6;6.5;51002401;6.1;6.9;6.3;Dat
2393;8;8.25;;;N1;5.4;;6;6.4;7.5;51002407;7.4;9.4;8.1;Dat
2394;6;7;;;N1;3.2;;3.75;4.4;4.25;51002408;5.6;8.8;6.3;Dat
2395;;;3;4.25;N1;2.8;3;;5.8;7.75;51002406;3.4;8.1;6.5;Dat
2396;7;9;;;N1;3.8;;5.25;6;7;51002411;7.1;9;7.5;Dat
2397;5.25;8.75;;;N1;7.6;;6.25;5.2;7;51002414;6.8;8.8;7.9;Dat
2398;;;4.25;4;N1;5;4;;4.8;6.5;51002416;4.1;8.2;6.6;Dat
2399;9;9.5;;;N1;5.4;;9;6.4;8;51002409;9.2;6.1;7.5;Dat
2400;7.5;9.5;;;N1;5.2;;5.75;6.4;7.75;51002413;7.6;6.3;7.2;Dat
2401;7.75;8.75;;;N1;5.4;;5;5.4;8;51002412;7.2;6.5;7.1;Dat
2402;6.25;8;;;N1;2.8;;5.5;6.6;6.5;51002415;6.6;6.7;6.5;Dat
2403;6.75;7;;;N1;5.2;;4.5;5.4;5.75;51002410;6.1;8.7;7.1;Dat
2404;5.75;6.75;;;N1;5;;4.5;4.8;7;51002421;5.7;7.2;6.7;Dat
2405;6;9;;;N1;7.8;;7.5;6.4;6.75;51002420;7.5;8.1;8;Dat
2406;5.75;8.5;;;N1;3.6;;3.5;5.4;6.5;51002418;5.9;8.5;6.9;Dat
2407;;;3.5;5;N1;3.4;3.75;;5.6;5.5;51002422;4.1;6.5;5.8;Dat
2408;6.25;6.75;;;N1;3.6;;5.75;6.8;6.75;51002417;6.3;6;6.5;Dat
2409;7;7.75;;;N1;3.2;;3.25;4.8;7;51002419;6;6.2;6.1;Dat
2410;8;8.5;;;N1;5;;6;6.4;5.75;51002429;7.5;7.5;7.2;Dat
2411;5.75;7;;;N1;2.6;;4;5.4;6;51002424;5.6;9.1;6.8;Dat
2412;6;8;;;N1;3.2;;3;5.8;5.75;51002423;5.7;7.7;6.5;Dat
2413;;;4.75;6.75;N1;3;7;;6.4;6.75;51002425;6.2;6.2;6.4;Dat
2414;5.25;5.5;;;N1;3.6;;4;4.6;5;51002427;4.9;9;6.5;Dat
2415;;;6.25;8.5;N1;5.2;5;;7.4;5.5;51002428;6.6;9.8;7.9;Dat
2416;8.25;8.25;;;N1;4.4;;7.5;6;5.5;51002434;8;6.1;6.6;Dat
2417;7.75;9;;;N1;3.8;;5;5.6;5.75;51002433;7.3;7.7;6.8;Dat
2418;7.75;7.25;;;N1;3.2;;4.5;4.4;6;51002430;6.5;6;5.9;Dat
2419;;;5.75;5.25;N1;8.4;5.5;;7.2;5;51002426;5.5;6.6;7.1;Dat
2420;7.75;7.5;;;N1;5;;5;6;6.25;51002435;6.8;8.7;7.4;Dat
2421;6.75;7.75;;;N1;2.6;;5;5.8;5.75;51002432;6.5;8;6.6;Dat
2422;;;5.5;5.25;N1;5.2;4.25;;7.6;6.5;51002436;5;8.1;7.3;Dat
2423;;;5;5;N1;3.2;5.5;;4.6;7.25;51002446;5.2;7.3;6.3;Dat
2424;6.25;8.5;;;N1;3.2;;3.5;5.6;7.25;51002431;6.1;6.8;6.5;Dat
2425;6;6.75;;;N1;1.8;;5.75;5.4;5.75;51002442;6.2;7.8;6.3;Dat
2426;;;5;5.25;N1;5;4.25;;5.6;5;51002440;4.8;8.5;6.7;Dat
2427;;;5.25;5.5;N1;5.6;6.25;;7.2;4.5;51002437;5.7;8.3;7.1;Dat
2428;;;5.5;7;N1;4.4;6;;8;5.5;51002439;6.2;9;7.5;Dat
2429;6.25;4.5;;;N1;4.4;;2.75;5.4;4.75;51002443;4.5;6;5.7;Dat
2430;;;4.75;6.75;N1;6.2;4.25;;6.8;5.75;51002444;5.3;9.3;7.6;Dat
2431;6.25;7;;;N1;5.8;;3.75;3.8;6.5;51002445;5.7;8.9;7.1;Dat
2432;;;4;5.75;N1;6.4;4;;5.4;6.5;51002447;4.6;9.9;7.6;Dat
2433;;;7.25;6.5;N1;2.4;4.75;;6.6;6.5;51002438;6.2;8.2;6.9;Dat
2434;6.75;9;;;N1;3.2;;5;4.4;6.5;51002441;6.9;8.5;6.8;Dat
2435;7.5;8.5;;;N1;2.6;;4.25;4.8;6.5;51002448;6.8;6.3;6.1;Dat
2436;7.25;8.75;;;N1;3.6;;7.75;6;5.75;51002451;7.9;9;7.4;Dat
2437;7;7.75;;;N1;3.6;;3.75;5.2;5.25;51002449;6.2;9.6;7;Dat
2438;6.5;9.5;;;N1;3.8;;6.75;6.2;7.25;51002450;7.6;6.9;7;Dat
2439;7.75;9.5;;;N1;4.4;;7.5;6;5.75;51002459;8.3;7.9;7.2;Dat
2440;;;6.5;8.25;N1;3.6;4.5;;7.4;6.75;51002454;6.4;8.7;7.4;Dat
2441;6.75;8.5;;;N1;4;;5.25;6;7.75;51002452;6.8;9.1;7.6;Dat
2442;7.75;7.75;;;N1;2.6;;7.25;7.6;6.25;51002458;7.6;9.4;7.6;Dat
2443;;;5.75;6.5;N1;4.4;6.75;;5.8;5.5;51002455;6.3;7.3;6.6;Dat
2444;7;9.25;;;N1;5;;4.5;7.4;6;51002460;6.9;8.2;7.5;Dat
2445;6.75;7.5;;;N1;4.6;;4.25;6.8;7.25;51002457;6.2;9.5;7.8;Dat
2446;6.25;6.5;;;N1;5.6;;3.5;6;5.75;51002463;5.4;7.5;6.8;Dat
2447;7.75;8.75;;;N1;5.2;;4.75;7.4;7.25;51002453;7.1;9.8;8.3;Dat
2448;8;8;;;N1;4.2;;8.25;5.4;6;51002462;8.1;10;7.7;Dat
2449;;;6.75;7;N1;4.4;4;;7.2;7;51002466;5.9;8.2;7.3;Dat
2450;;;6.75;6.75;N1;6.2;5.75;;7.4;7;51002456;6.4;7.4;7.5;Dat
2451;8.25;8;;;N1;3.4;;6;4.6;7.5;51002467;7.4;7.5;6.9;Dat
2452;5.75;7.25;;;N1;4.8;;4;4.6;6.25;51002468;5.7;8.3;6.8;Dat
2453;;;6;5.5;N1;6;5.75;;8.2;6.5;51002461;5.8;6.1;7.1;Dat
2454;7;7.5;;;N1;4.2;;4.5;4.6;6.75;51002464;6.3;6.3;6.3;Dat
2455;;;4.5;6.25;N1;4.4;5.25;;5.4;6.75;51002465;5.3;8.3;6.9;Dat
2456;7.75;8.75;;;N1;4.8;;4.5;6.6;8;51002470;7;9.2;8;Dat
2457;;;5.75;6.25;N1;4.4;4.25;;5.8;5.75;51002471;5.4;7;6.4;Dat
2458;4.5;7.75;;;N1;2.8;;6;5.4;6.25;51002469;6.1;7.3;6.4;Dat
2459;7.5;7.75;;;N1;2.8;;5.25;6;6.25;51002477;6.8;8.7;7;Dat
2460;8.25;6.75;;;N1;3.6;;5.5;6;6.75;51002472;6.8;7.2;6.8;Dat
2461;5;7.25;;;N1;3.6;;3.5;5.6;7.75;51002475;5.3;6.5;6.4;Dat
2462;6.5;9;;;N1;4.2;;4.5;6.2;8;51002473;6.7;7.1;7.1;Dat
2463;8;9;;;N1;5.2;;7.5;7.6;7.25;51002478;8.2;7.2;7.7;Dat
2464;5;7.75;;;N1;4.8;;4;4.8;6;51002480;5.6;8.9;7;Dat
2465;6.5;8.25;;;N1;3.8;;5.25;4.4;6.75;51002474;6.7;8;6.8;Dat
2466;7;7.75;;;N1;3;;5.75;5;5;51002476;6.8;9.8;7;Dat
2467;7.75;8.75;;;N1;2.6;;5.5;5;3.75;51002482;7.3;7.1;6;Dat
2468;7;6.5;;;N1;6.8;;3.5;5.4;6.5;51002484;5.7;7.4;7.1;Dat
2469;;;5.5;6.75;N1;4.8;6.25;;6.8;7;51002489;6.2;9;7.6;Dat
