@relation diemthifinal

@attribute sbd numeric
@attribute 'Diem xet tot nghiep' numeric
@attribute 'Dieu kien tot nghiep' {Dat,'Khong Dat'}

@data
51000500,6.4,Dat
51000505,7.2,Dat
51000503,7.6,Dat
51000497,7.4,Dat
51000504,7.4,Dat
51000506,8.3,Dat
51000502,5,Dat
51000509,7.1,Dat
51000511,8,Dat
51000510,6.2,Dat
51000508,6.8,Dat
51000520,7.2,Dat
51000513,8,Dat
51000515,8.2,Dat
51000516,7,Dat
51000524,7.4,Dat
51000519,6.9,Dat
51000521,7.1,Dat
51000526,7.2,Dat
51000522,8,Dat
51000530,6.6,Dat
51000532,7.5,Dat
51000528,7.4,Dat
51000527,8,Dat
51000534,7.7,Dat
51000529,6.9,Dat
51000531,7.3,Dat
51000538,6.9,Dat
51000535,7.4,Dat
51000536,7.1,Dat
51000537,8.2,Dat
51000541,8.2,Dat
51000533,7.8,Dat
51000540,7.9,Dat
51000542,8.9,Dat
51000545,8,Dat
51000546,6.3,Dat
51000549,7.1,Dat
51000544,6.8,Dat
51000543,7.6,Dat
51000548,7.7,Dat
51000550,7.2,Dat
51000552,8.3,Dat
51000553,9.1,Dat
51000547,6.9,Dat
51000556,7.4,Dat
51000554,5.7,Dat
51000558,8.2,Dat
51000557,7.7,Dat
51000559,8.5,Dat
51000561,6.2,Dat
51000569,8,Dat
51000565,7.1,Dat
51000577,8.1,Dat
51000567,5.8,Dat
51000568,7,Dat
51000566,8.6,Dat
51000570,8,Dat
51000574,7.4,Dat
51000572,6.6,Dat
51000584,6.4,Dat
51000576,7.4,Dat
51000562,7.1,Dat
51000578,7.2,Dat
51000582,7.2,Dat
51000579,6.9,Dat
51000581,7.5,Dat
51000575,7.1,Dat
51000587,5.9,Dat
51000590,8.2,Dat
51000586,8.3,Dat
51000589,7.2,Dat
51000591,8.1,Dat
51000588,7.4,Dat
51000594,6.4,Dat
51000598,6.6,Dat
51000593,7.6,Dat
51000599,7.6,Dat
51000592,7.7,Dat
51000596,7.5,Dat
51000597,7.8,Dat
51000600,7.2,Dat
51000595,6.9,Dat
51000605,6.3,Dat
51000603,4.6,'Khong Dat'
51000602,7.3,Dat
51000608,8,Dat
51000601,7.3,Dat
51000606,7.4,Dat
51000604,4.5,'Khong Dat'
51000611,6,Dat
51000607,7,Dat
51000610,7.8,Dat
51000612,7.9,Dat
51000623,7,Dat
51000609,7.9,Dat
51000638,7.7,Dat
51000621,7.1,Dat
51000625,7.7,Dat
51000616,7.8,Dat
51000626,7.5,Dat
51000627,7.9,Dat
51000628,7.6,Dat
51000643,7.8,Dat
51000651,7.6,Dat
51000613,7.8,Dat
51000653,7.1,Dat
51000633,5.6,Dat
51000630,6.9,Dat
51000631,6.4,Dat
51000620,7.2,Dat
51000618,7.7,Dat
51000650,7.2,Dat
51000615,7.6,Dat
51000642,7.1,Dat
51000614,7.6,Dat
51000629,6.4,Dat
51000636,7,Dat
51000648,5.4,Dat
51000617,7,Dat
51000639,6.9,Dat
51000632,7.8,Dat
51000635,7.6,Dat
51000644,8.2,Dat
51000657,7.6,Dat
51000640,7.4,Dat
51000641,7.6,Dat
51000652,7.5,Dat
51000645,7.6,Dat
51000660,6.6,Dat
51000656,6.5,Dat
51000662,6,Dat
51000668,7.9,Dat
51000665,6.1,Dat
51000669,8.1,Dat
51000667,7.2,Dat
51000666,6,Dat
51000671,8.7,Dat
51000672,7.7,Dat
51000670,7.2,Dat
51000673,6.5,Dat
51000674,7.8,Dat
51000676,6.9,Dat
51000677,7.4,Dat
51000678,8.1,Dat
51000675,8,Dat
51000682,8,Dat
51000679,7.8,Dat
51000683,6.4,Dat
51000680,7.2,Dat
51000685,6.5,Dat
51000686,7.2,Dat
51000688,6.5,Dat
51000687,7.4,Dat
51000689,7.3,Dat
51000691,7.8,Dat
51000693,6.2,Dat
51000692,7.6,Dat
51000690,7.2,Dat
51000697,7.5,Dat
51000695,8.3,Dat
51000696,6.9,Dat
51000700,5.1,Dat
51000702,8.5,Dat
51000706,8.3,Dat
51000699,8.6,Dat
51000707,8.3,Dat
51000698,7.3,Dat
51000704,6.9,Dat
51000728,7,Dat
51000724,7.6,Dat
51000703,6.9,Dat
51000730,6.3,Dat
51000711,7.6,Dat
51000726,8.4,Dat
51000721,7.7,Dat
51000723,8.9,Dat
51000718,8.5,Dat
51000705,8.2,Dat
51000722,5.5,Dat
51000714,6.8,Dat
51000708,7.2,Dat
51000725,7.9,Dat
51000731,7.6,Dat
51000733,7.8,Dat
51000717,7.7,Dat
51000719,7.1,Dat
51000694,7.2,Dat
51000701,8,Dat
51000736,7.3,Dat
51000732,9,Dat
51000738,6,Dat
51000727,7.7,Dat
51000715,8.8,Dat
51000709,7.2,Dat
51000713,4.7,'Khong Dat'
51000710,7.4,Dat
51000737,7.5,Dat
51000739,7.9,Dat
51000735,8.1,Dat
51000734,8.1,Dat
51000743,6.6,Dat
51000748,8.7,Dat
51000749,7.8,Dat
51000747,6.9,Dat
51000752,5,Dat
51000745,6.9,Dat
51000751,5.7,Dat
51000753,8.4,Dat
51000754,6.3,Dat
51000750,6.2,Dat
51000757,8.7,Dat
51000755,6.4,Dat
51000758,5.7,Dat
51000760,8.1,Dat
51000763,8.4,Dat
51000759,9.6,Dat
51000762,7.1,Dat
51000768,7.8,Dat
51000764,6.6,Dat
51000770,7.1,Dat
51000767,8.6,Dat
51000771,8.1,Dat
51000776,8.5,Dat
51000782,7.6,Dat
51000791,6.6,Dat
51000783,6,Dat
51000786,9,Dat
51000785,7.6,Dat
51000788,5.5,Dat
51000789,7.4,Dat
51000793,7.9,Dat
51000792,7.5,Dat
51000795,6.7,Dat
51000794,5.9,Dat
51000784,7.5,Dat
51000798,5.5,Dat
51000799,8.6,Dat
51000803,7.9,Dat
51000804,8.4,Dat
51000809,7.8,Dat
51000805,5.3,Dat
51000811,6.5,Dat
51000808,7.3,Dat
51000814,7.9,Dat
51000817,7.7,Dat
51000813,8.4,Dat
51000812,6.6,Dat
51000818,6.9,Dat
51000819,7.5,Dat
51000816,7.1,Dat
51000820,7.7,Dat
51000823,6.8,Dat
51000821,7.8,Dat
51000822,7.6,Dat
51000826,7,Dat
51000828,6.9,Dat
51000827,6.7,Dat
51000825,6.4,Dat
51000830,7.4,Dat
51000833,7.3,Dat
51000832,6.6,Dat
51000835,6.8,Dat
51000840,8.6,Dat
51000834,8.2,Dat
51000839,8.4,Dat
51000841,7.6,Dat
51000836,8.1,Dat
51000838,8,Dat
51000843,8.1,Dat
51000844,6.1,Dat
51000845,7.4,Dat
51000848,7.1,Dat
51000847,8.7,Dat
51000846,7.8,Dat
51000842,7.3,Dat
51000850,7.5,Dat
51000855,7.1,Dat
51000852,7.4,Dat
51000856,7.2,Dat
51000853,7.4,Dat
51000849,7.4,Dat
51000858,6.4,Dat
51000854,8.2,Dat
51000862,7,Dat
51000859,6.6,Dat
51000863,8,Dat
51000864,6.4,Dat
51000866,7.6,Dat
51000865,7.9,Dat
51000872,6.9,Dat
51000867,7.7,Dat
51000870,7.5,Dat
51000874,5.1,Dat
51000879,7.7,Dat
51000877,7.2,Dat
51000875,8.9,Dat
51000885,5.6,Dat
51000890,7.5,Dat
51000891,5.9,Dat
51000884,6.8,Dat
51000892,8.1,Dat
51000889,6.7,Dat
51000895,7.5,Dat
51000894,8.1,Dat
51000893,8.5,Dat
51000896,7.4,Dat
51000897,7.6,Dat
51000903,8.3,Dat
51000900,6.8,Dat
51000887,7.6,Dat
51000899,6.8,Dat
51000898,6.9,Dat
51000902,4.1,'Khong Dat'
51000901,6.7,Dat
51000907,8.9,Dat
51000905,7.3,Dat
51000904,6.3,Dat
51000906,6.9,Dat
51000911,6.6,Dat
51000915,8.5,Dat
51000910,8.2,Dat
51000913,8.8,Dat
51000914,8,Dat
51000916,6.4,Dat
51000918,7,Dat
51000922,8.3,Dat
51000923,8.1,Dat
51000921,6.2,Dat
51000919,8.5,Dat
51000924,7.5,Dat
51000920,7.7,Dat
51000926,7.9,Dat
51000929,7.9,Dat
51000928,7.8,Dat
51000930,6.1,Dat
51000934,7.7,Dat
51000938,8.5,Dat
51000932,8.2,Dat
51000941,8.7,Dat
51000936,6.5,Dat
